island;67;943;#1
island;90;1299;#2
island;108;281;#3
island;170;664;#4
island;205;1051;#5
island;228;189;#6
island;250;1281;#7
island;286;1185;#8
island;293;594;#9
island;324;1444;#10
island;328;358;#11
island;354;421;#12
island;354;992;#13
island;368;793;#14
island;432;1323;#15
island;437;486;#16
island;441;143;#17
island;447;1455;#18
island;472;903;#19
island;485;432;#20
island;535;737;#21
island;567;1281;#22
island;576;1103;#23
island;580;454;#24
island;604;420;#25
island;638;169;#26
island;684;661;#27
island;684;1032;#28
island;714;732;#29
island;736;231;#30
island;738;416;#31
island;814;1165;#32
island;862;1001;#33
island;869;118;#34
island;887;883;#35
island;898;1348;#36
island;947;487;#37
island;1031;1305;#38
island;1086;899;#39
island;1101;699;#40
island;1108;826;#41
island;1126;447;#42
island;1132;1108;#43
island;1141;999;#44
island;1164;313;#45
island;1171;1244;#46
island;1218;1451;#47
island;1240;782;#48
island;1256;1218;#49
island;1304;117;#50
island;1320;482;#51
island;1347;777;#52
island;1354;1416;#53
island;1366;341;#54
island;1409;1285;#55
island;1433;1059;#56
island;1435;932;#57
island;1443;535;#58
island;1485;1152;#59
island;1488;214;#60
island;1510;472;#61
island;1579;793;#62
island;1612;1448;#63
island;1632;327;#64
island;1698;593;#65
island;1735;1378;#66
coal;241;1462;#67
coal;342;743;#68
coal;733;1251;#69
coal;995;651;#70
coal;1021;761;#71
coal;1134;954;#72
coal;1274;1212;#73
coal;1653;828;#74
copper;820;639;#75
copper;974;299;#76
copper;1009;858;#77
copper;1223;482;#78
farm;290;1280;#79
farm;432;905;#80
farm;476;522;#81
farm;1070;1092;#82
farm;1357;990;#83
farm;1768;1057;#86
iron;259;260;#87
iron;343;1161;#88
iron;583;647;#89
iron;883;350;#90
iron;963;129;#91
iron;1130;614;#92
iron;1246;700;#93
iron;1634;251;#94
iron;1658;1434;#95
iron;1721;519;#96
resin;274;1045;#97
resin;583;1031;#98
resin;1225;1375;#99
resin;1761;1210;#100
rum;79;512;#101
rum;461;726;#102
rum;678;362;#103
rum;1452;470;#104
rum;1532;716;#105
water;187;194;#106
water;510;99;#107
water;1355;110;#108
water;1596;133;#109
water;1770;155;#110
wood;110;942;#111
wood;313;422;#112
wood;586;1453;#113
wood;633;724;#114
wood;645;1186;#115
wood;734;530;#116
wood;941;1375;#117
wood;1291;869;#118
wood;1363;570;#119
wood;1443;1439;#120
wood;1480;889;#121
wood;1723;1357;#122
water;32;179;#123
water;1072;35;#124
altar;422;709;#125
altar;751;1444;#126
altar;843;882;#127
altar;1186;545;#128
altar;1834;923;#129
fort;32;543;#130
fort;86;1102;#131
fort;129;256;#132
fort;229;704;#133
fort;277;1234;#134
fort;347;497;#135
fort;375;318;#136
fort;404;1460;#137
fort;419;1001;#138
fort;615;795;#139
fort;764;35;#140
fort;767;271;#141
fort;784;1515;#142
fort;795;1078;#143
fort;969;1056;#144
fort;1013;723;#145
fort;1053;1244;#146
fort;1144;565;#147
fort;1175;248;#148
fort;1242;1140;#149
fort;1282;1441;#150
fort;1297;701;#151
fort;1520;560;#152
fort;1623;1263;#153
fort;1665;896;#154
fort;1712;310;#155
fort;1811;1094;#156
fort;1834;1500;#157
printshop;32;439;#158
printshop;925;1515;#159
printshop;1800;1515;#160
printshop;1833;345;#161
island;495;629;#162
